Country,CountryID,Continent,Adolescent fertility rate (in percent),Adult literacy rate (in percent),Gross national income per capita (PPP international $),Net primary school enrolment ratio female (in percent),Net primary school enrolment ratio male (in percent),Population (in thousands) total,Population annual growth rate (in percent),Population in urban areas (in percent),Population living below the povertyline,Population median age (years),Population proportion over 60 (in percent),Population proportion under 15 (in percent),Registration coverage of births (in percent),Total fertility rate (per woman),Antenatal care coverage _ at least four visits (in percent),Antiretroviral therapy coverage ,Antiretroviral therapy,Births attended by skilled ,Births by caesarean section (in percent),Children aged 6_59 months who received vitamin A
Afghanistan,1,1,151,28,,,,26088,4,23,,16,4,47,6,7.2,,,,14,,
Albania,2,2,27,98.7,6000,93,94,3172,0.6,46,2,29,13,26,90,2.1,,,,100,15,
Algeria,3,3,6,69.9,5940,94,96,33351,1.5,64,,24,7,29,90,2.4,41,,14,95,6,
Andorra,4,2,,,,83,83,74,1,93,,,22,14,90,1.3,,,,,,
Angola,5,3,146,67.4,3890,49,51,16557,2.8,54,,17,4,46,29,6.5,,14,16,45,,
Antigua and Barbuda,6,4,,,15130,,,84,1.3,37,,,11,28,,2.2,,,,100,,
Argentina,7,5,62,97.2,11670,98,99,39134,1,90,6.6,29,14,26,90,2.3,,,71,99,,
Armenia,8,2,30,99.4,4950,84,80,3010,-0.3,64,2,32,14,20,90,1.3,71,,8,98,9,
Australia,9,6,16,,33940,97,96,20530,1.1,88,,37,18,19,90,1.8,,,,100,,
Austria,10,2,14,,36040,98,97,8327,0.4,66,,40,22,16,90,1.4,,,,,21,
Azerbaijan,11,2,31,98.8,5430,83,86,8406,0.6,52,3.7,28,9,24,90,1.7,30,,,97,4,
Bahamas,12,4,46,,,89,87,327,1.2,91,,28,10,27,,2,,,,99,,
Bahrain,13,1,14,86.5,34310,98,98,739,1.9,97,,29,5,26,90,2.4,61,,,99,,
Bangladesh,14,7,135,47.5,1230,90,87,155991,1.8,25,41.3,22,6,35,10,2.9,16,,3,20,4,78.5
Barbados,15,4,51,,15150,96,97,293,0.3,53,,36,13,18,,1.5,,,67,100,,
Belarus,16,2,22,99.6,9700,88,90,9742,-0.5,73,2,38,18,15,90,1.2,,,15,100,17,
Belgium,17,2,5,,33860,97,97,10430,0.3,97,,41,22,17,90,1.6,,,,99,,
Belize,18,5,90,70.3,7080,97,97,282,2.2,48,,21,6,37,90,3,,,42,91,,
Benin,19,3,108,34.7,1250,73,87,8760,3.1,40,30.9,18,4,44,70,5.6,61,53,42,74,4,18.3
Bermuda,20,4,,,,,,,,,,,,,,,,,,,,
Bhutan,21,7,62,,4000,79,79,649,1.8,11,,23,7,32,,2.3,,,,51,,
